ID,Name,Description,Primary Objects,ComponentGroups,Complexity Score
V_1172FB01,Territory Budget Management,"Provides capabilities to manage and allocate budgets across territories and regions.

* Allows users to view and reallocate funds across regions and sub-territories via a hierarchical interface.
* Validates budget allocations in real-time to prevent exceeding available funds.
* Calculates outstanding pending budgets automatically.
* Clones active Budget Headers and Territory Budgets for upcoming fiscal periods.","Budget_Header_NTR__c, Territory_Budget_vod__c, Rep_Roster_vod__c, Territory_Budget_Transaction_vod__c, Material_Order__c","V51000000001001, V51000000001009",67
V_0CD620E0,Material and Sample Order Management,"Manages the end-to-end lifecycle of material and sample orders for sales representatives.

* Allows sales representatives to request product samples and promotional marketing materials.
* Automates the submission, cancellation, and updates of material orders and line items.
* Manages shipping addresses and shipping methods for orders.
* Validates territory budgets and deducts costs from territory allocations.
* Automates the creation of Material Orders and line items directly from Veeva CRM call records (e.g., BRC samples).
* Converts units of measure and handles notification alerts for order statuses.","Material_Order__c, Material_Order_Line_Item__c, Territory_Budget_Transaction_vod__c, Product_vod__c, Address_vod__c, Rep_Roster_vod__c, Territory_Budget_vod__c, Shipping_Method_NTR__c, Call2_vod__c, Inventory_Shipping_Address__c, My_Setup_Products_vod__c, Call2_Sample_vod__c","V51000000002001, V51000000001005, V51000000001004, V51000000001003",305
V_63CD2290,Global Account Search and Alignment,"Provides a global search utility for locating and aligning accounts.

* Allows users to search for Accounts and associated Addresses using dynamic filters.
* Enables users to select specific accounts from search results and align them to their territories.
* Tracks alignment history for auditing and reporting purposes.","GAS_Alignment_History_vts__c, GASSettings__c, Address_vod__c, Account_Territory_Loader_vod__c",V51000000001002,422
V_373A2860,Account Lifecycle and Hierarchy Management,"Automates administrative tasks related to account maintenance and hierarchy synchronization.

* Handles automated account merges and business unit assignments based on record creator.
* Drops territory assignments automatically when accounts become inactive.
* Propagates key targeting and membership properties dynamically from parent accounts to child accounts.","Account, User, Account_Merge__c, Account_Territory_Loader_vod__c, Child_Account_vod__c","V51000000002003, V51000000002002",17
V_BBD590EA,Marketing Engagement Integration,"Integrates external marketing platforms with CRM to display engagement data.

* Authenticates with external marketing platforms via OAuth.
* Retrieves and displays external marketing engagement data directly on Account records.
* Maps specialty categories for targeted marketing insights.","Primary_Speciality_Category_Mappings__c, Category_Mapping_Non_PED__c, Error_Log__c, Account, OAuth_Credentials__c",V51000000001006,147
V_72D64D41,Call Reporting Interface,"Enhances the user interface for capturing call interactions and provides seamless access to interaction logging directly from the customer profile. Streamlines the process of logging interactions and planning engagements with Healthcare Professionals (HCPs) or organizations directly from their profile. Key functionalities include: * Embeds the Veeva CRM 'New Call' interface directly into the Salesforce Account page for streamlined data entry. * Allows users to quickly capture interaction details, discussions, and interactions without navigating away from the customer record. * Dynamically loads external Veeva modules, handles session authentication, and passes record-specific context automatically to the call report. * Seamlessly integrates the standard Veeva CRM call reporting tool within the account view to reduce navigation time and improve user efficiency.","Account, Call2_vod__c",V51000000001007,0
V_D45F8FFC,External Application Launchers,"Facilitates seamless navigation to external applications from within the CRM.

* Provides a mobile-friendly redirect page to launch the Business Card Reader (BCR) Pro application.
* Displays the Engage Splash Screen for user onboarding or application entry.",,"V51000000001010, V51000000001013",0
V_BD306EF3,Cycle Planning and Targeting,"Manages the creation, cloning, and synchronization of cycle plans and targets to optimize field force territory management. Key functionalities include: 1) Allows users to perform deep clones of existing Cycle Plans and their associated targets. 2) Synchronizes target indicators on territory field (TSF) records upon cycle plan submission. 3) Streamlines the cycle planning process for field representatives and managers.","Cycle_Plan_vod__c, Cycle_Plan_Target_vod__c, TSF_vod__c","V51000000001008, V51000000002004",31
V_AB0FEE7A,Business Card Import,"Facilitates the rapid capture of new contact information via mobile scanning tools to reduce manual data entry. Enhances the efficiency of entering new contact information into the CRM by leveraging external scanning tools. Key functionalities include: * Provides a mobile-friendly redirect to seamlessly launch the external Business Card Reader (BCR) Pro application. * Streamlines the process of importing scanned business card data into the CRM to capture new Healthcare Professional (HCP), contact, or account details. * Reduces manual data entry for field representatives when acquiring new leads or contacts. * Facilitates the automated scanning and importing of physical business card details to quickly create or update CRM records.","Contact, Account",V51000000001010,0
V_D08D0BB6,Engage Meeting Experience,"Manages the user interface elements, entry, and branding experience for remote customer engagements via Veeva Engage. Facilitates digital and remote interactions with Healthcare Professionals through integrated virtual meeting tools. Key functionalities include: * Displays a dedicated splash screen for users joining Veeva Engage meetings. * Provides a branded, professional, and standardized waiting area for participants joining remote meetings. * Enhances the visual experience for users joining or hosting remote interactions and facilitates a seamless transition into active digital engagement sessions with Healthcare Professionals. * Provides a standardized, user-friendly entry point for initiating remote meetings and digital communications with HCPs.","Engage_Meeting_vod__c, Call2_vod__c",V51000000001013,0
V_18201F01,Territory Business Planning,Supports the strategic planning and management of sales territories. Key functionalities include: - Automatically looks up and assigns active user territory associations to Territory Business Plans. - Ensures territory alignment data is accurately reflected on business planning records. - Streamlines the administrative overhead of maintaining territory assignments on strategic plans.,Territory_Business_Plans__c,V51000000002006,3
V_20DCD3B8,Sample Inventory Management & SAP Integration,"Manages the synchronization and tracking of sample inventory between Veeva CRM and SAP. This function ensures accurate audit trails for sample orders and receipts. Capabilities include:
* Monitoring incoming sample receipts within the CRM.
* Automatically generating corresponding sample transactions for SAP integration logs.
* Maintaining an accurate, automated audit trail for sample inventory to ensure compliance and stock accuracy.","Sample_Receipt_vod__c, Sample_Transaction_vod__c",V51000000001012,2
V_C3E17B96,Medical Event Management,"Supports the administration, tracking, and compliance of medical events by maintaining accurate internal ownership data. 

Key functionalities include:
* Automatically captures and records the email address of the event owner's manager on the event record.
* Ensures internal organizational hierarchy is accurately reflected on medical events for compliance, approval routing, and reporting purposes.",Medical_Event_vod__c,V51000000001011,1
V_8382E6B5,Opportunity and Risk Task Management,Automates the alignment of daily tasks with strategic opportunity and risk assessments. Key functionalities include: * Synchronizing strategy types from Opportunity and Risk records directly to Task activities. * Ensuring user activities are contextually linked to broader account strategies and risk factors.,"Opportunity_and_Risk__c, Task",V51000000002005,1
